year,exam_id,question_id,stage,typeA,examKind,qCategory,qSubcategory
1476,Eacb5c494ba8e,Q9d1835f1d055,전시,대과,중시,策,
1477,E4805c3d85b03,Qb55e7fa6e650,전시,대과,식년시,策,
1477,E4fa03e7c131e,Qa6c82bfda1d1,전시,대과,알성시,表,
1478,Eff72b992b979,Qbfcdbea91abe,전시,대과,친시,表,
1478,Eff72b992b979,Q0c6a51563e31,전시,대과,친시,詩,
1479,E8f1ffd590eab,Q3bbcd3f2da66,전시,대과,별시,策,
1479,E9ea0a28245f5,Q3b1092d91dec,전시,대과,중시,賦,
1479,E9ea0a28245f5,Qf7ff11193d90,전시,대과,중시,表,
1480,Ebb6d382577fa,Qb23f0a6c54d1,전시,대과,알성시,表,
1480,E7d96fc9eb31d,Q9fe7b31b6366,전시,대과,식년시,策,
1481,Eda58f9ce5d04,Qb9952e386ad2,전시,대과,친시,策,
1482,E0265833cbbdc,Q128ae8370425,전시,대과,알성시,策,
1482,E831d7515d3c5,Q1e617b12284e,전시,대과,진현시,策,
1483,E019d01b44473,Q91d85b1073fb,전시,대과,식년시,表,
1483,E019d01b44473,Q67581456d8fc,전시,대과,식년시,論,
1485,E706c918d02f0,Qc412293ef4c7,전시,대과,알성시,策,
1485,E706c918d02f0,Q8f7ae860cb4f,전시,대과,알성시,賦,
1486,E21ccf2ebb2fb,Qba71bc291e67,전시,대과,식년시,策,
1486,Ef09aaa9ad9e6,Q7d3ecdb8378a,전시,대과,중시,策,
1487,E6f56f6b0a708,Q0d1248526bc7,전시,대과,별시,策,
1488,E9e29124bcbf2,Q130cdfeaafe9,전시,대과,알성시,論,
1489,Eab0304d73d6e,Q83d7c363111f,전시,대과,식년시,策,
1490,E5982d80bb305,Qe9a6e64f809f,전시,대과,별시,策,
1491,E0f41a7cfaf9c,Qac267e5a779c,전시,대과,별시,策,
1492,E3739c43f6d93,Q4a775a611d3a,전시,대과,식년시,策,
1492,E78c27679a2c2,Qc094b929c289,전시,대과,별시,策,
1494,E65c35a8fded5,Q535d8bd1ba85,전시,대과,별시,策,
1495,E81e5b0ebc259,Qae2245df1342,,소과,증광시,,
1495,Efea5300d7c8d,Qd24a25179b8d,,대과,증광시,策,
1496,Eec40ae1729a3,Qb21014dfe8da,,소과,식년시,,
1496,E494def148dd6,Q52a93d71baf1,,대과,식년시,策,
1496,E494def148dd6,Qd7535a1483cd,,대과,식년시,論,
1497,E478a4fedf5fa,Q726da999c280,,대과,별시,策,
1497,Eedfdee3fffb0,Q252daf119b37,,대과,중시,策,
1498,Ed09e94fe9e72,Q55b177220523,,소과,식년시,,
1498,E28c271d08142,Q801bca6c5951,,,,策,
1498,E0c9374638f6c,Qc6b8875f11b3,전시,대과,별시,策,
1501,E26c8fc11300b,Qab387fe4c6db,,소과,식년시,,
1501,E18a9bc10e9d0,Q883db6b4551b,,대과,식년시,策,
1501,E18a9bc10e9d0,Q60462dba05d0,,대과,식년시,賦,
1502,E3d610e5e9ede,Q8a4934a004ce,,대과,알성시,策,
1503,E8c3047645dd0,Qe7d4d945afd0,,대과,별시,策,
1504,E9120c57bc93b,Qd42fb42fd583,초시,소과,식년시,,
1504,E691f42b981bc,Qe8a1e19fe152,초시,대과,별시,策,
1504,E3dfc87598576,Q7adcb03dd615,초시,대과,식년시,策,
1504,Ed16e778ad6f9,Qcae184d75094,초시,대과,별시2,詩,
1506,E0a1b39f64760,Qba1f78de2877,전시,대과,별시,,
1506,Ea783a4986ab8,Q233bf0dddb85,전시,대과,별시2,,
1507,E2417d93cacfa,Qc816f2bd1527,초시,소과,증광시,,
1507,Ea929ea640491,Q500c6c8299cc,초시,대과,증광시,策,
1507,Ec5f05246c7e0,Q2c7d7b25c8cb,초시,소과,식년시,,
1507,E29f4f8769528,Q944d5b0c0ba1,초시,대과,식년시,策,
1507,Ed038aca35cae,Qf5755af38def,초시,대과,중시,策,
1507,E29f4f8769528,Qc030ada05641,초시,대과,식년시,策,
1507,Ed038aca35cae,Q6dc338d3f561,초시,대과,중시,策,
1508,E4af7bdaaed2d,Qa7fbe63b0db8,,소과,,詩,
1508,E06ef2ac7f187,Qa0cf488b0825,,대과,알성시,,
1509,E48cabb51c908,Qf998f4637fc0,,대과,별시,,
1510,E8ef882f86dd0,Q1f9aa15e1e24,,소과,식년시,,
1510,E672bdf3700a0,Q5149933cd1b9,,대과,식년시,策,
1511,E162964e2fccf,Q7a5cd08f1717,전시,대과,별시,策,
1513,Eb3fbc13c4c89,Q7bc02d7e6cc0,전시,대과,별시,策,
1513,E9b45ab8e438b,Qe970a57ac79b,전시,소과,식년시,,
1513,E22fe5ed4386a,Qc182deeabcc2,전시,대과,식년시,,
1514,E61a062863e31,Q63da1a0e8b83,,대과,알성시,講,
1514,E740a6264bfdb,Qa1a29a472ecc,,대과,별시,,
1515,Ed642ddeefee3,Q8a910cf19e8d,,대과,알성시,策,
1516,E88832a8a2d4b,Q1eb9cb29da16,,소과,식년시,,
1516,Ea2c0bb1e03fa,Q351624d8de15,,대과,식년시,策,
1516,E17fb705baaa9,Qa2f852e252d5,,대과,별시,策,
1516,Efa4a2050666e,Q06f7a68e6bbd,,대과,중시,策,
1517,E3dba2764dc3a,Qa55e607e573f,,대과,별시,頌,
1517,E3dba2764dc3a,Qe04dda592294,,대과,별시,表,
1519,E65cb0f5639c2,Qed71be9572ae,복시,소과,식년시,賦,
1519,E96b00b51e19c,Q1a7f770bbc9f,,대과,식년시,策,
1519,Eb51409d45239,Qc62801f18da9,,대과,현량과,策,
1519,E3bca68d67ab9,Q512e25f6af09,,대과,별시,策,
1520,E78143d06df87,Qfee5314c80aa,전시,대과,별시,策,
1521,E4809570ef9b3,Q11c8b7241259,,대과,별시,策,
1522,E3a08540eed9e,Qba7e3d6c0138,초시,소과,식년시,,
1522,E0b8461fb6e37,Q6e1a32a609c6,초시,대과,식년시,策,
1522,E5ea3b33f24c3,Q73763be72caf,초시,대과,별시,表,
1522,E5ea3b33f24c3,Q5d5e0827085f,초시,대과,별시,箴,
1523,Ec2d7fa629d88,Q750b6ec002e9,,대과,알성시,表,
1524,Ec4a9338e04e7,Q433b39b58141,초시,대과,별시,策,
1525,E918eac4eff41,Q999fcf2731da,초시,소과,식년시,,
1525,E8037e9fa7574,Q426d574f9e22,,,,表,
1525,E8037e9fa7574,Q626e146ddf39,,,,詔,
1526,E82105e957e92,Qac2dedad6bcd,전시,대과,별시,策,
1526,E2cc05ab7b4dd,Q016d510a7bfd,전시,대과,중시,策,
1528,Ec613dd830383,Qbcd6f859b21d,,소과,식년시,,
1528,Ed480a6350edb,Q0bb83f9d6d59,초시,대과,별시,,
1528,Ecfcc6cd28a65,Qbe0e113b10cf,,대과,식년시,,
1528,Eee1748780c6a,Q4e5444562262,전시,대과,여주별시,,
1531,E11900f150015,Q780e21f6f93c,복시,소과,식년시,賦,
1531,E330ad71008e1,Qf878d7e956c3,,대과,식년시,表,
1532,Ea81adfcef576,Qf0c9ac659159,초시,대과,별시,論,
1532,Ea81adfcef576,Q065af6dff323,초시,대과,별시,策,
1532,E18ac8af8ce94,Q37f9ba4ead47,,대과,별시2,論,
1532,E18ac8af8ce94,Qfaf66a64635c,,대과,별시2,頌,
1533,Eaf77cedfea53,Q7a55243308de,전시,대과,별시,論,
1533,Eaf77cedfea53,Q3038dc82b794,전시,대과,별시,頌,
1534,E13a63ddbacc6,Qda57ddec9626,초시,소과,식년시,,
1534,E7791e555f3d8,Qcc6ab8287671,초시,대과,식년시,賦,
