person_id,name_question
381,1610년_별시대과_전시_문제
382,1611년_별시대과_전시_문제
383,1612년_식년시소과_초시_문제
384,1612년_식년시소과_복시_문제
385,1612년_식년시대과_전시_문제
386,1612년_증광시소과_초시_문제
387,1612년_증광시소과_복시_문제
388,1612년_증광시대과_전시_문제
389,1613년_알성시대과_전시_문제
390,1613년_증광시소과_초시_문제
391,1613년_증광시소과_복시_문제
392,1613년_증광시대과_전시_문제
393,1614년_전주별시대과_전시_문제
394,1615년_식년시소과_초시_문제
395,1615년_식년시소과_복시_문제
396,1615년_식년시대과_전시_문제
397,1615년_알성시대과_전시_문제
398,1616년_증광시소과_초시_문제
399,1616년_증광시소과_복시_문제
400,1616년_증광시대과_전시_문제
401,1616년_알성시대과_전시_문제
402,1616년_중시대과_전시_문제
403,1616년_별시대과_전시_문제
404,1617년_알성시대과_전시_문제
405,1617년_증광시소과_초시_문제
406,1617년_증광시소과_복시_문제
407,1618년_정시대과_전시_문제
408,1618년_식년시소과_초시_문제
409,1618년_식년시소과_복시_문제
410,1618년_증광시대과_전시_문제
411,1619년_수원개성별시대과_전시_문제
412,1619년_알성시대과_전시_문제
413,1619년_정시대과_전시_문제
414,1620년_정시대과_전시_문제
415,1621년_정시대과_전시_문제
416,1621년_알성시대과_전시_문제
417,1621년_별시대과_전시_문제
418,1623년_알성시대과_전시_문제
419,1623년_정시대과_전시_문제
420,1623년_개시대과_전시_문제
421,1624년_공주정시대과_전시_문제
422,1624년_별시대과_전시_문제
423,1624년_증광시소과_초시_문제
424,1624년_증광시소과_복시_문제
425,1624년_증광시대과_전시_문제
426,1624년_식년시소과_초시_문제
427,1624년_식년시소과_복시_문제
428,1624년_알성시대과_전시_문제
429,1624년_식년시대과_전시_문제
430,1625년_별시대과_전시_문제
431,1626년_별시대과_전시_문제
432,1626년_정시대과_전시_문제
433,1626년_중시대과_전시_문제
434,1627년_전주별시대과_전시_문제
435,1627년_강화정시대과_전시_문제
436,1627년_정시대과_전시_문제
437,1627년_식년시소과_초시_문제
438,1627년_식년시소과_복시_문제
439,1627년_식년시대과_전시_문제
440,1628년_별시대과_전시_문제
441,1628년_알성시대과_전시_문제
442,1629년_별시대과_전시_문제
443,1629년_정시대과_전시_문제
444,1630년_식년시소과_초시_문제
445,1630년_식년시소과_복시_문제
446,1630년_식년시대과_전시_문제
447,1630년_별시대과_전시_문제
448,1631년_별시대과_전시_문제
449,1632년_알성시대과_전시_문제
450,1633년_증광시소과_초시_문제
451,1633년_증광시소과_복시_문제
452,1633년_증광시대과_전시_문제
453,1633년_식년시소과_초시_문제
454,1633년_식년시소과_복시_문제
455,1633년_식년시대과_전시_문제
456,1634년_별시대과_전시_문제
457,1635년_알성시대과_전시_문제
458,1635년_증광시소과_초시_문제
459,1635년_증광시소과_복시_문제
460,1635년_증광시대과_전시_문제
461,1636년_별시대과_전시_문제
462,1636년_중시대과_전시_문제
463,1637년_정시대과_전시_문제
464,1637년_별시대과_전시_문제
465,1638년_정시대과_전시_문제
466,1639년_알성시대과_전시_문제
467,1639년_식년시소과_초시_문제
468,1639년_식년시소과_복시_문제
469,1639년_별시대과_전시_문제
470,1639년_식년시대과_전시_문제
471,1641년_정시대과_전시_문제
472,1642년_식년시소과_초시_문제
473,1642년_식년시소과_복시_문제
474,1642년_식년시대과_전시_문제
475,1642년_정시대과_전시_문제
476,1643년_관서별시대과_전시_문제
477,1644년_정시대과_전시_문제
478,1644년_별시대과_전시_문제
479,1645년_별시대과_전시_문제
480,1646년_식년시소과_초시_문제
481,1646년_식년시소과_복시_문제
482,1646년_식년시대과_전시_문제
483,1646년_중시대과_전시_문제
484,1646년_정시대과_전시_문제
485,1648년_식년시소과_초시_문제
486,1648년_식년시소과_복시_문제
487,1648년_정시대과_전시_문제
488,1648년_식년시대과_전시_문제
489,1649년_별시대과_전시_문제
490,1649년_정시대과_전시_문제
491,1650년_증광시소과_초시_문제
492,1650년_증광시소과_복시_문제
493,1650년_증광시대과_전시_문제
494,1651년_정시대과_전시_문제
495,1651년_식년시소과_초시_문제
496,1651년_식년시소과_복시_문제
497,1651년_식년시대과_전시_문제
498,1651년_알성시대과_전시_문제
499,1651년_별시대과_초시_문제
500,1651년_별시대과_전시_문제
501,1652년_증광시대과_전시_문제
502,1652년_증광시소과_초시_문제
503,1652년_증광시소과_복시_문제
504,1653년_알성시대과_전시_문제
505,1653년_별시대과_초시_문제
506,1653년_별시대과_전시_문제
507,1654년_춘당대시대과_전시_문제
508,1654년_식년시소과_초시_문제
509,1654년_식년시소과_복시_문제
510,1654년_식년시대과_전시_문제
511,1655년_춘당대시대과_전시_문제
512,1656년_별시대과_전시_문제
513,1656년_중시대과_전시_문제
514,1657년_식년시소과_초시_문제
515,1657년_식년시소과_복시_문제
516,1657년_식년시대과_전시_문제
517,1657년_알성시대과_전시_문제
518,1660년_식년시소과_초시_문제
519,1660년_식년시소과_복시_문제
520,1660년_식년시대과_전시_문제
521,1660년_증광시소과_초시_문제
522,1660년_증광시소과_복시_문제
523,1660년_증광시대과_전시_문제
524,1661년_증광시소과_초시_문제
525,1662년_증광시소과_복시_문제
526,1662년_증광시대과_전시_문제
527,1662년_정시대과_전시_문제
528,1662년_식년시소과_초시_문제
529,1663년_식년시소과_복시_문제
530,1663년_식년시대과_전시_문제
531,1664년_춘당대시대과_전시_문제
532,1664년_함경도별시대과_전시_문제
533,1665년_정시대과_전시_문제
534,1665년_온양정시대과_전시_문제
535,1665년_별시대과_전시_문제
